URN,LA (name),LA (code),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentStatus (name),OpenDate,CloseDate,PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (name),NurseryProvision (name),OfficialSixthForm (name),Gender (name),ReligiousCharacter (name),ReligiousEthos (name),Diocese (name),AdmissionsPolicy (name),TrustSchoolFlag (name),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (name),UKPRN,FurtherEducationType (name),Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,Rand
137366,Cornwall,908,2742,Wadebridge Primary Academy,Academy converter,Open,01/09/2011,,Primary,3,11,No boarders,Has Nursery Classes,Not applicable,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Bridge Multi-Academy Trust,-,,Not applicable,,10035090,Not applicable,Gonvena Hill,,,Wadebridge,Cornwall,PL27 6BL,www.wadebridgeprimary.co.uk,1208814560,,Adrian,Massey,13
140098,Hampshire,850,3365,Milford-on-Sea Church of England Primary School,Academy converter,Open,01/09/2013,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Church of England,Does not apply,Diocese of Winchester,Not applicable,Supported by a single-academy trust,Bridge Multi-Academy Trust,-,,Not applicable,,10042659,Not applicable,Lymington Road,Milford-on-Sea,,Lymington,Hampshire,SO41 0RF,http://www.mosps.co.uk,1590642945,Mr,Ben,Willis,62
141871,Kent,886,2060,Beaver Green Primary School,Academy sponsor led,Open,01/04/2015,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,None,Not applicable,Not applicable,Supported by a multi-academy trust,Bridge Multi-Academy Trust,Linked to a sponsor,Swale Academies Trust,Not applicable,,10049033,Not applicable,Cuckoo Lane,,,Ashford,Kent,TN23 5DA,www.beaver-green.kent.sch.uk,1233621989,Mrs,Catherine,Hylands,50
139610,Walsall,335,3805,Edgar Stammers Primary Academy,Academy converter,Open,01/07/2013,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Bridge Multi-Academy Trust,-,,Not applicable,,10042174,Not applicable,Harden Road,Coalpool,,Walsall,West Midlands,WS3 1RQ,www.edgarstammers.walsall.sch.uk/,1922471390,Mrs,T,Bunn,77
138362,Darlington,841,2656,Gurney Pease Academy,Academy converter,Open,01/07/2012,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Bridge Multi-Academy Trust,-,,Not applicable,,10037788,Not applicable,Dodsworth Street,,,Darlington,County Durham,DL1 2NG,www.educationvillage.org.uk/,1325380790,,Mike,Butler,60
141765,Essex,881,7045,Castledon School,Academy special converter,Open,01/03/2015,,Not applicable,5,19,No boarders,No Nursery Classes,Has a sixth form,Mixed,Does not apply,None,Not applicable,Not applicable,Supported by a single-academy trust,Bridge Multi-Academy Trust,-,,Not applicable,,10048921,Not applicable,Bromfords Drive,,,Wickford,Essex,SS12 0PW,http://www.castledon.essex.sch.uk,1268761252,Mrs,Philippa,Holliday,99
143322,Sandwell,333,3407,Summerhill Primary Academy,Academy converter,Open,01/12/2017,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Bridge Multi-Academy Trust,-,,Not applicable,,10057732,Not applicable,Upper Church Lane,,,Tipton,West Midlands,DY4 9PF,www.summerhill.sandwell.sch.uk/,1215573282,Ms,Kerry,Rochester,76
136560,Central Bedfordshire,823,4117,Woodland Middle School Academy,Academy converter,Open,01/04/2011,,Middle deemed secondary,9,13,No boarders,Not applicable,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Non-selective,Supported by a single-academy trust,Bridge Multi-Academy Trust,-,,Not applicable,,10033273,Not applicable,Malham Close,Flitwick,,Bedford,Bedfordshire,MK45 1NP,http://www.woodlandacademy.co.uk/,1525750400,Mr,Jeff,Conquest,9
143249,Leicestershire,855,2088,Seagrave Village Primary School,Academy converter,Open,01/09/2016,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Bridge Multi-Academy Trust,-,,Not applicable,,10057813,Not applicable,Green Lane,Seagrave,,Loughborough,Leicestershire,LE12 7LU,www.seagravevillageprimaryschool.co.uk/,1509812486,Mrs,Maxine,Chafer,7
140788,Newcastle upon Tyne,391,2890,Thomas Walling Primary Academy,Academy converter,Open,01/04/2014,,Primary,2,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Bridge Multi-Academy Trust,Linked to a sponsor,The Laidlaw Schools Trust,Not applicable,,10045608,Not applicable,Lindfield Avenue,Blakelaw,,Newcastle-upon-Tyne,Tyne and Wear,NE5 3PL,www.thomaswallingacademy.com,1912860333,Mrs,Liz,Greensides,98
