URN,School level maths progress score
140204,-2.1
140202,-0.7
140200,-0.9
140153,-0.5
140152,-0.1
140151,1.8
140150,1.3
140148,0
140147,2.7
140146,-1.2
140145,0.9
140144,1.6
140142,5.4
140141,3.1
140140,3.6
140139,0
140137,2.2
140136,-4.9
140135,0
140132,-1.1
140130,5.8
140129,0.9
140128,2.1
140127,0.6
140125,-0.5
140124,-0.5
140120,0.9
140119,-1.5
140116,1.7
140115,-1.6
140114,-0.1
140113,-2.8
140112,-0.8
140111,-2.3
140110,-2.1
140109,1.8
140107,-0.2
140102,2.6
140101,-1.6
140100,5.4
140098,0.5
140096,0.9
140095,1
140094,-1.3
140092,0.4
140089,0.8
140088,4.4
140087,-2.1
140086,-2.5
140085,4.7
140080,-0.5
140078,3.8
140076,-0.2
140074,-2
140073,-0.5
140072,-1.5
140071,-0.1
140070,5.4
140068,1.5
140065,-1
140064,-0.4
140063,-2.8
140062,1.5
140060,-0.2
140059,1
140058,0.8
140057,-0.4
140056,0
140054,-1.4
140053,0.3
140052,3.7
140050,2.3
140048,-3.8
140040,2.6
139991,-0.5
139987,4.6
139986,-0.6
139985,-2.2
139984,-0.8
139983,0.8
139981,-0.7
139980,-0.3
139966,4.7
139965,4.2
139959,0
139958,0.4
139954,-0.7
139952,1.1
139950,-1.5
139949,0.1
139947,1.3
139944,-3
139942,-2.1
139941,-1.6
139940,-2.2
139939,-1.8
139935,-1.1
139934,1.8
139933,0.6
139932,-5.4
139930,-0.6
139929,-2.5
139928,-0.4
139927,-1.6
139920,-4.1
139916,-0.6
139915,1.6
139909,-1.1
139905,4
139894,0.2
139893,-2.9
139892,1.1
139890,1.2
139889,2.6
139887,2.7
139886,5.6
139885,0
139884,3.3
139882,0.5
139881,0.1
139880,1.7
139879,0.8
139877,2.9
139876,-0.7
139875,-0.4
139874,1.1
139870,2.7
139869,0.3
139868,-0.4
139866,-0.1
139864,-2.6
139863,1.1
139861,-0.3
139860,1.2
139858,-1
139857,-1.3
139856,-1.1
139854,-1.7
139851,-1.1
139850,0.9
139848,1.6
139847,1.8
139846,-4.6
139844,1.8
139843,-1
139838,4.2
139830,1.1
139824,-4.9
139820,1.2
139818,-1.7
139817,2.8
139810,-1
139805,-2.9
139804,0.8
139803,-1.2
139802,4
139800,-2.4
139799,2.1
139770,-3.2
139768,-1.7
139767,-5
139763,2.4
139762,-1.5
139757,-5.3
139756,-2.1
139755,-2.9
139754,-6.1
139753,1.5
139752,-1.6
139750,2.3
139748,-2.7
139747,1.4
139744,5
139743,-3.8
139742,2.7
139737,-0.8
139724,2.9
139719,1
139717,2.1
