URN,School level reading progress score
138383,0
139319,0
139686,0
135423,0
135672,0
136759,0
137026,0
137986,0
138159,0
139090,0
139092,0
139093,0
139661,0
139885,0
140139,0
137466,10.7
139308,10.3
137362,10.2
139710,9.8
137700,9.4
139011,9.3
137136,9.2
139653,8.7
137295,8.3
138671,8.1
137439,8
136288,7.9
138687,7.6
138751,7.5
137529,7.4
136275,7.3
138709,7.3
136492,7.1
137081,7.1
138867,7.1
138328,7
139987,7
136293,6.9
138446,6.8
139056,6.8
138555,6.7
136532,6.6
139240,6.6
139391,6.6
137483,6.5
138415,6.5
138826,6.4
138063,6.3
138793,6.2
139225,6.2
139678,6.2
137654,6.1
139124,6.1
138589,6
139199,5.9
140095,5.9
136889,5.8
140140,5.8
137644,5.7
139886,5.7
138293,5.6
138848,5.6
139150,5.6
139966,5.6
136328,5.5
140125,5.5
136630,5.4
138105,5.4
137626,5.3
138629,5.3
139576,5.3
138001,5.2
138325,5.2
136318,5.1
138078,5.1
138128,5
138399,5
136475,4.9
136919,4.9
137450,4.9
138397,4.9
139524,4.9
137306,4.8
139512,4.8
137247,4.7
137624,4.7
139640,4.7
139848,4.7
138335,4.6
138722,4.6
140129,4.6
136983,4.5
137010,4.5
138338,4.5
139393,4.5
139497,4.5
139619,4.5
140141,4.5
137647,4.4
138005,4.4
139477,4.4
139679,4.4
140052,4.4
140078,4.4
136830,4.3
137664,4.3
138008,4.3
138164,4.3
138726,4.3
140142,4.3
136635,4.2
137108,4.2
138708,4.2
138902,4.2
139198,4.2
139505,4.2
137525,4.1
137958,4.1
138339,4.1
138947,4.1
138955,4.1
140130,4.1
135943,4
137022,4
138402,4
138443,4
139066,4
137220,3.9
137428,3.9
138653,3.9
139081,3.9
136821,3.8
137149,3.8
137443,3.8
138036,3.8
138976,3.8
139309,3.8
139838,3.8
135622,3.7
136365,3.7
136563,3.7
136712,3.7
137397,3.7
137415,3.7
137422,3.7
137666,3.7
137897,3.7
137943,3.7
137962,3.7
138007,3.7
138226,3.7
138362,3.7
138645,3.7
138659,3.7
139165,3.7
139317,3.7
139744,3.7
139763,3.7
136967,3.6
137292,3.6
138000,3.6
138033,3.6
138317,3.6
138972,3.6
137563,3.5
137623,3.5
137693,3.5
138299,3.5
138391,3.5
138631,3.5
139016,3.5
139266,3.5
139315,3.5
136796,3.4
137909,3.4
138453,3.4
138533,3.4
139489,3.4
139641,3.4
139817,3.4
137528,3.3
137831,3.3
139080,3.3
140040,3.3
140088,3.3
136326,3.2
137425,3.2
137682,3.2
138169,3.2
138305,3.2
138390,3.2
138648,3.2
138809,3.2
139096,3.2
139115,3.2
139137,3.2
139443,3.2
139507,3.2
135981,3.1
137488,3.1
137665,3.1
138340,3.1
138617,3.1
138752,3.1
138914,3.1
139084,3.1
139954,3.1
136375,3
137035,3
137797,3
138016,3
138543,3
139256,3
139615,3
139905,3
139934,3
136344,2.9
137610,2.9
137979,2.9
138694,2.9
139164,2.9
139370,2.9
139645,2.9
137157,2.8
137930,2.8
138447,2.8
138677,2.8
139087,2.8
139299,2.8
139658,2.8
139860,2.8
139949,2.8
140102,2.8
136784,2.7
137042,2.7
137151,2.7
137182,2.7
137517,2.7
137642,2.7
137959,2.7
137972,2.7
138090,2.7
138160,2.7
138268,2.7
138300,2.7
138605,2.7
138742,2.7
139205,2.7
139297,2.7
