URN,School level writing progress score
138383,0
139319,0
139686,0
135423,0
135672,0
136759,0
137026,0
137986,0
138159,0
139090,0
139092,0
139093,0
139661,0
139885,0
139923,0
140139,0
139124,10.3
138709,9.4
140085,8.9
138063,8.4
137700,8
138055,8
139080,7.8
137466,7.7
137529,7.7
138826,7.7
139240,7.3
139266,7.3
138589,7.2
138579,7
139056,7
139223,6.8
139710,6.8
136275,6.7
136821,6.6
138399,6.6
138423,6.6
139317,6.6
138446,6.5
138996,6.5
139225,6.5
139678,6.4
139108,6.3
139115,6.3
139543,6.3
137631,6.2
138299,6.1
137303,6
138543,5.9
139016,5.9
139198,5.9
139347,5.9
139886,5.9
138653,5.8
138588,5.7
139032,5.7
137362,5.6
138866,5.6
136630,5.4
139966,5.4
136318,5.3
138751,5.3
139136,5.3
139308,5.3
137397,5.2
138671,5.2
138629,5.1
138129,5
138292,5
138889,5
139256,5
137108,4.9
137488,4.9
138325,4.9
138556,4.9
139126,4.9
139199,4.9
135968,4.8
137306,4.8
137422,4.8
139724,4.8
136288,4.7
136532,4.7
136712,4.7
137642,4.7
137831,4.7
138953,4.7
139495,4.7
139633,4.7
139905,4.7
140130,4.7
138550,4.6
138976,4.6
138983,4.6
139817,4.6
139987,4.6
140056,4.6
136197,4.5
136563,4.5
137068,4.5
138701,4.5
138793,4.5
138915,4.5
139313,4.5
139609,4.5
136888,4.4
137910,4.4
139004,4.4
139024,4.4
139315,4.4
139393,4.4
139505,4.4
134369,4.3
137441,4.3
137611,4.3
137682,4.3
139254,4.3
139360,4.3
136765,4.2
138409,4.2
138749,4.2
139259,4.2
139472,4.2
139503,4.2
136870,4.1
137480,4.1
138741,4.1
138744,4.1
139177,4.1
139508,4.1
139584,4.1
139679,4.1
137157,4
137439,4
138127,4
138322,4
138369,4
138912,4
139053,4
139324,4
139927,4
137689,3.9
137761,3.9
138442,3.9
138663,3.9
138727,3.9
138930,3.9
139039,3.9
139205,3.9
139742,3.9
140147,3.9
136932,3.8
137293,3.8
137961,3.8
137979,3.8
138300,3.8
138687,3.8
138690,3.8
138726,3.8
138761,3.8
139066,3.8
139085,3.8
139799,3.8
140129,3.8
140142,3.8
136486,3.7
138000,3.7
138078,3.7
139703,3.7
140113,3.7
140140,3.7
137963,3.6
138440,3.6
138542,3.6
138554,3.6
138677,3.6
138860,3.6
139123,3.6
139325,3.6
139875,3.6
139965,3.6
140052,3.6
136661,3.5
137081,3.5
137141,3.5
137664,3.5
137665,3.5
138036,3.5
138188,3.5
138288,3.5
138415,3.5
138447,3.5
138452,3.5
138631,3.5
139150,3.5
139640,3.5
139848,3.5
139983,3.5
140053,3.5
135622,3.4
137022,3.4
137238,3.4
137866,3.4
138584,3.4
138637,3.4
138867,3.4
136528,3.3
136796,3.3
138067,3.3
138128,3.3
138331,3.3
138934,3.3
138955,3.3
139089,3.3
136889,3.2
137371,3.2
137413,3.2
137881,3.2
138185,3.2
138354,3.2
138538,3.2
139281,3.2
139309,3.2
139332,3.2
139527,3.2
139653,3.2
139928,3.2
135242,3.1
137483,3.1
138453,3.1
138648,3.1
138676,3.1
138789,3.1
138947,3.1
139489,3.1
139576,3.1
139850,3.1
140137,3.1
140141,3.1
136967,3
137010,3
137430,3
138005,3
139201,3
139650,3
136344,2.9
136362,2.9
136859,2.9
137358,2.9
137450,2.9
